image# mean_luminance_Haze mean_luminance_AOD clip gridsize PSNR SSIM
10 212.7442 179.3413 0.5 8 12.5546 0.7566
10 212.7442 179.3413 0.5 12 12.1532 0.7507
10 212.7442 179.3413 0.5 16 12.2280 0.7528
10 212.7442 179.3413 0.6 4 13.1529 0.7649
10 212.7442 179.3413 0.6 8 12.6932 0.7599
10 212.7442 179.3413 0.6 12 12.3277 0.7545
10 212.7442 179.3413 0.6 16 12.2280 0.7528
10 212.7442 179.3413 0.7 4 13.3156 0.7679
10 212.7442 179.3413 0.7 8 12.8096 0.7625
10 212.7442 179.3413 0.7 12 12.5095 0.7585
10 212.7442 179.3413 0.7 16 12.3616 0.7563
10 212.7442 179.3413 0.8 4 13.4594 0.7705
10 212.7442 179.3413 0.8 8 12.8716 0.7641
10 212.7442 179.3413 0.8 12 12.6251 0.7611
10 212.7442 179.3413 0.8 16 12.3616 0.7563
11 177.2442 126.6247 0.4 4 20.4976 0.9250
11 177.2442 126.6247 0.4 8 20.0723 0.9226
11 177.2442 126.6247 0.4 12 20.2657 0.9228
11 177.2442 126.6247 0.4 16 20.1644 0.9228
11 177.2442 126.6247 0.5 4 20.4695 0.9241
11 177.2442 126.6247 0.5 8 20.1488 0.9221
11 177.2442 126.6247 0.5 12 20.2657 0.9228
11 177.2442 126.6247 0.5 16 20.4270 0.9216
11 177.2442 126.6247 0.6 4 20.3591 0.9225
11 177.2442 126.6247 0.6 8 20.0358 0.9203
11 177.2442 126.6247 0.6 12 20.2548 0.9216
11 177.2442 126.6247 0.6 16 20.4270 0.9216
11 177.2442 126.6247 0.7 4 20.2690 0.9206
11 177.2442 126.6247 0.7 8 19.8679 0.9174
11 177.2442 126.6247 0.7 12 20.1608 0.9185
11 177.2442 126.6247 0.7 16 20.3964 0.9169
11 177.2442 126.6247 0.8 4 20.0918 0.9179
11 177.2442 126.6247 0.8 8 19.8368 0.9148
11 177.2442 126.6247 0.8 12 20.0396 0.9152
11 177.2442 126.6247 0.8 16 20.3964 0.9169
12 173.3862 120.0378 0.4 4 17.2607 0.8638
12 173.3862 120.0378 0.4 8 17.0428 0.8628
12 173.3862 120.0378 0.4 12 17.1243 0.8624
12 173.3862 120.0378 0.4 16 16.9714 0.8594
12 173.3862 120.0378 0.5 4 17.4325 0.8661
12 173.3862 120.0378 0.5 8 17.0286 0.8631
12 173.3862 120.0378 0.5 12 17.1243 0.8624
12 173.3862 120.0378 0.5 16 17.2091 0.8637
12 173.3862 120.0378 0.6 4 17.5506 0.8677
12 173.3862 120.0378 0.6 8 17.1167 0.8648
12 173.3862 120.0378 0.6 12 17.2219 0.8641
12 173.3862 120.0378 0.6 16 17.2091 0.8637
12 173.3862 120.0378 0.7 4 17.6815 0.8690
12 173.3862 120.0378 0.7 8 17.1567 0.8656
12 173.3862 120.0378 0.7 12 17.3015 0.8653
12 173.3862 120.0378 0.7 16 17.1288 0.8641
12 173.3862 120.0378 0.8 4 17.7886 0.8701
12 173.3862 120.0378 0.8 8 17.2002 0.8663
12 173.3862 120.0378 0.8 12 17.3230 0.8660
12 173.3862 120.0378 0.8 16 17.1288 0.8641
13 196.4738 155.5267 0.4 4 18.1693 0.8744
13 196.4738 155.5267 0.4 8 17.6689 0.8715
13 196.4738 155.5267 0.4 12 17.1322 0.8683
13 196.4738 155.5267 0.4 16 17.0541 0.8676
13 196.4738 155.5267 0.5 4 18.2654 0.8751
13 196.4738 155.5267 0.5 8 17.7445 0.8723
13 196.4738 155.5267 0.5 12 17.1322 0.8683
13 196.4738 155.5267 0.5 16 17.0305 0.8670
13 196.4738 155.5267 0.6 4 18.3821 0.8758
13 196.4738 155.5267 0.6 8 17.7634 0.8724
13 196.4738 155.5267 0.6 12 17.1218 0.8685
13 196.4738 155.5267 0.6 16 17.0305 0.8670
13 196.4738 155.5267 0.7 4 18.4437 0.8762
13 196.4738 155.5267 0.7 8 17.8177 0.8727
13 196.4738 155.5267 0.7 12 17.1877 0.8688
13 196.4738 155.5267 0.7 16 17.0568 0.8667
13 196.4738 155.5267 0.8 4 18.4393 0.8760
13 196.4738 155.5267 0.8 8 17.8920 0.8731
13 196.4738 155.5267 0.8 12 17.2299 0.8685
13 196.4738 155.5267 0.8 16 17.0568 0.8667
14 199.5770 156.7149 0.4 4 16.3124 0.8532
14 199.5770 156.7149 0.4 8 15.8046 0.8491
14 199.5770 156.7149 0.4 12 15.5040 0.8453
14 199.5770 156.7149 0.4 16 15.3743 0.8396
14 199.5770 156.7149 0.5 4 16.5038 0.8576
14 199.5770 156.7149 0.5 8 15.8838 0.8512
14 199.5770 156.7149 0.5 12 15.5040 0.8453
14 199.5770 156.7149 0.5 16 15.4821 0.8470
14 199.5770 156.7149 0.6 4 16.7322 0.8622
14 199.5770 156.7149 0.6 8 16.0001 0.8551
14 199.5770 156.7149 0.6 12 15.6599 0.8505
14 199.5770 156.7149 0.6 16 15.4821 0.8470
14 199.5770 156.7149 0.7 4 16.9519 0.8660
14 199.5770 156.7149 0.7 8 16.1576 0.8589
14 199.5770 156.7149 0.7 12 15.6580 0.8535
14 199.5770 156.7149 0.7 16 15.4470 0.8517
14 199.5770 156.7149 0.8 4 17.1577 0.8696
14 199.5770 156.7149 0.8 8 16.2540 0.8616
14 199.5770 156.7149 0.8 12 15.7327 0.8564
14 199.5770 156.7149 0.8 16 15.4470 0.8517
15 200.3603 159.9400 0.4 4 13.0167 0.7155
15 200.3603 159.9400 0.4 8 12.6370 0.7111
15 200.3603 159.9400 0.4 12 12.4447 0.7076
15 200.3603 159.9400 0.4 16 12.4717 0.7029
15 200.3603 159.9400 0.5 4 13.1368 0.7208
15 200.3603 159.9400 0.5 8 12.6699 0.7137
15 200.3603 159.9400 0.5 12 12.4447 0.7076
15 200.3603 159.9400 0.5 16 12.4496 0.7108
15 200.3603 159.9400 0.6 4 13.2286 0.7257
15 200.3603 159.9400 0.6 8 12.7390 0.7183
