image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 16 22.5155 0.9304
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 2 23.3568 0.9349
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 4 22.2193 0.9287
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 6 22.2088 0.9277
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 8 22.0537 0.9271
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 10 22.1212 0.9272
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 12 21.9146 0.9256
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 14 21.9818 0.9259
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 16 22.5155 0.9304
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.5 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 2 24.0428 0.9368
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 4 22.5616 0.9287
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 6 22.5036 0.9277
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 8 22.1648 0.9264
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 10 22.3024 0.9258
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 12 21.9146 0.9256
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 14 21.9818 0.9259
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 16 22.7206 0.9271
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 20 21.6035 0.9231
